"lodindex","lodcolumn","chr","pos","lod","ci_lo","ci_hi"
27,"l.mean.BELT.SPG19_LR.68","2",149.561,4.51252696573247,144.0883,155.6161
27,"l.mean.BELT.SPG19_LR.68","3",118,4.35770135357963,114.8143,124.0238
27,"l.mean.BELT.SPG19_LR.68","5",19,15.1043222888969,1.9097,21.3122
31,"a.mean.BELT.SPG19_LR.68","3",121.003,17.2552547043622,117.524,121.6203
31,"a.mean.BELT.SPG19_LR.68","5",19,5.08061824732444,1.9097,28.9065
35,"b.mean.BELT.SPG19_LR.68","2",149.0507,11.5589139332331,148.5405,149.9675
35,"b.mean.BELT.SPG19_LR.68","3",121.003,4.57055694153283,76.6281,122.2697
35,"b.mean.BELT.SPG19_LR.68","5",19,12.9107969705259,1.9097,25.4886
59,"l.mean.BELT.Su18_LR.68","5",19,9.7439374003528,1.9097,25.4886
63,"a.mean.BELT.Su18_LR.68","3",121.003,9.23682049483213,117.524,122.2697
63,"a.mean.BELT.Su18_LR.68","5",19,5.22061815612792,1.9097,25.4886
67,"b.mean.BELT.Su18_LR.68","2",151.2074,4.56361915284816,147.4167,154.1871
67,"b.mean.BELT.Su18_LR.68","3",121.003,3.31534844501759,105.6454,142.1953
67,"b.mean.BELT.Su18_LR.68","5",19,8.02216188391854,1.9097,25.4886
91,"l.mean.BELT.Su19_LR.68","2",149.561,3.71372364469743,135.0521,155.6161
91,"l.mean.BELT.Su19_LR.68","3",117.524,6.04889432824417,115.6477,123.1173
91,"l.mean.BELT.Su19_LR.68","5",19,12.6949200457075,1.9097,25.4886
95,"a.mean.BELT.Su19_LR.68","3",121.003,18.0420722312333,117.524,121.6203
95,"a.mean.BELT.Su19_LR.68","5",19,4.45931898756865,1.9097,30.0105
99,"b.mean.BELT.Su19_LR.68","2",149.0507,13.1152627409152,148.5405,149.9675
99,"b.mean.BELT.Su19_LR.68","3",78.5972,3.92741052028536,75.0206,121.6203
99,"b.mean.BELT.Su19_LR.68","5",18,12.4856483714148,1.9097,25.4886
111,"l.mean.BELT.Su21_LR.68","3",118,5.01875723602422,114.8143,124.0238
111,"l.mean.BELT.Su21_LR.68","5",19,15.5197001521835,16.4052,25.4886
112,"a.mean.BELT.Su21_LR.68","3",121.003,20.3716515308393,119.1729,121.6203
113,"b.mean.BELT.Su21_LR.68","2",149.561,14.0380828521521,148.5405,149.9675
113,"b.mean.BELT.Su21_LR.68","5",18,11.3818444910505,1.9097,25.4886
